artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.92441987991333,13.92495584487915,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",6.92441987991333,13.92495584487915,6.92442603111267,None,14.308279991149902,None,,16.25890278816223,None,16.258676385879518,18.258234977722168,18.641946411132814,None,22.04234037399292,None,23.442352390289308,33.442962884902954,33.84295830726624,34.8436598777771,35.243650913238525,36.243385791778564,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
1,0,1,0,,,,,,,,,,,36.26016592979431,None,36.260054206848146,38.27735686302185,38.643851375579835,None,42.04338440895081,None,43.42794427871704,53.4270179271698,53.82751522064209,54.82815384864807,55.22802782058716,56.22743582725525,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
2,0,2,0,,,,,,,,,,,56.26082682609558,None,56.26086435317993,58.261353969573975,58.628194427490236,None,62.044337368011476,None,63.427988386154176,73.42930197715759,73.82893238067626,None,75.22917890548706,76.22931289672852,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
3,0,3,0,,,,,,,,,,,76.2626268863678,None,76.26245222091674,78.26262378692627,78.64581522941589,None,82.04599223136901,None,83.44545421600341,93.44853591918945,93.84590134620666,None,95.24586486816406,96.24629878997803,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
4,0,4,0,,,,,,,,,,,96.26275682449341,None,96.2629672050476,98.28113794326782,98.64688620567321,None,102.04636940956115,None,103.44639120101928,113.44744396209717,113.84693822860717,None,115.2477478981018,116.24705791473389,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
5,0,5,0,,,,,,,,,,,116.26434683799744,None,116.26372632980346,118.26398491859436,118.6314552783966,None,122.04790029525756,None,123.43173823356628,133.43199682235718,133.83135542869567,134.83143782615662,135.231440782547,136.232106924057,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
6,0,6,0,,,,,,,,,,,136.28196692466736,None,136.26547226905822,138.29805278778076,138.64825329780578,None,142.04824838638305,143.0649139881134,143.44903931617736,153.4662148952484,153.8491352558136,None,155.26557683944702,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
7,0,7,0,,,,,,,,,,,156.29989790916443,None,156.28229126930236,158.29915285110474,158.68252429962158,161.6993658542633,162.0827582836151,163.11604380607605,163.46595726013183,173.48403000831604,173.8666664123535,174.88323998451233,175.28326082229614,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
8,0,8,0,,,,,,,,,,,176.31756496429443,None,176.30020532608032,178.31678795814514,178.70023522377014,181.7169508934021,182.10031542778015,None,183.50035939216613,193.5176019668579,193.90086541175842,None,195.3181619644165,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
9,0,9,0,,,,,,,,,,,196.3187379837036,None,196.30122742652892,198.31783390045166,198.70132026672363,201.71832990646362,202.10128936767578,None,203.50141534805297,213.51854395866394,213.86863837242126,None,215.2853238582611,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
10,0,10,0,,,,,,,,,,,216.31988883018494,None,216.30202231407165,218.31883192062378,218.70214924812316,None,222.08564219474792,None,223.50239024162292,233.5196669101715,233.8696692943573,234.88629484176636,235.28632998466492,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
11,0,11,0,,,,,,,,,,,236.32060289382935,None,236.3032504081726,238.3198459148407,238.70337233543395,None,242.1033812522888,None,243.5036762714386,253.52057886123657,253.90395936965942,None,255.3206639289856,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
12,0,12,0,,,,,,,,,,,256.32169580459595,None,256.30406222343447,258.3208258152008,258.70424327850344,261.72120690345764,262.1044133663178,None,263.5044263362885,273.521675825119,273.8716534137726,None,275.2883608341217,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
13,0,13,0,,,,,,,,,,,276.3226900100708,None,276.3052474021912,278.3218569755554,278.70544323921206,None,282.1053873062134,None,283.50569734573367,293.52266478538513,293.8728762626648,None,295.2893979549408,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
14,0,14,0,,,,,,,,,,,296.32374382019043,None,296.30641040802004,298.3229179382324,298.7062252521515,None,302.10642824172976,None,303.5065082073212,313.5236887931824,313.8737183570862,None,315.29052996635437,None,00,00,,A1,False,False,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_May_29_1226,nibs_stage_1,3.2.3,60.06768223434436,
