pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,5.671430826187134,None,10.656378984451294,None,12.473655939102173,None,12.473082876205444,14.473335981369019,14.856767320632935,19.323555946350098,19.740266466140746,20.740505933761597,39.05813636779785,None,40.45735001564026,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,42.44159483909607,None,42.44073491096496,44.441510915756226,44.80760040283203,48.908362865448,49.325254344940184,None,69.00939145088196,None,70.40957689285278,72.40959882736206,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,72.45959901809692,None,72.45955629348755,74.45968890190125,74.84303631782532,None,79.84327831268311,None,99.04436745643616,100.04374885559082,100.44439101219177,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,102.44433498382568,None,102.44453792572023,104.44395899772644,104.82730832099915,107.0604019165039,107.46038451194764,108.4605610370636,129.02957429885865,None,130.42923998832703,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_06_1614,nibs_stage_1,3.2.3,60.03415143139727,
